title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,na_sales_proportion,jp_sales_proportion,pal_sales_proportion,other_sales_proportion
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,2013-09-17,0.31348425196850394,0.04872047244094488,0.48474409448818895,0.15354330708661418
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,2014-11-18,0.3125322331098504,0.030943785456420833,0.5007735946364106,0.1557503867973182
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,9.6,16.15,8.41,0.47,5.49,1.78,2002-10-28,0.5207430340557276,0.02910216718266254,0.33993808049535607,0.11021671826625389
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,8.1,15.09,6.18,0.41,6.05,2.44,2015-11-06,0.4095427435387674,0.027170311464546057,0.40092776673293573,0.16169648774022533
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.82,9.07,0.13,4.29,1.33,2011-11-08,0.6120107962213226,0.008771929824561403,0.2894736842105263,0.08974358974358974
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2010-11-09,0.6621438263229308,0.007462686567164179,0.2530529172320217,0.0773405698778833
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018-10-26,0.37733142037302725,0.015064562410329985,0.445480631276901,0.16212338593974174
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2012-11-13,0.5966810966810967,0.005050505050505051,0.31168831168831174,0.08658008658008658
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2012-11-13,0.3615942028985507,0.04710144927536232,0.4260869565217391,0.16521739130434782
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2009-11-10,0.6311899482631189,0.005912786400591279,0.2682926829268293,0.09460458240946046
